"Country Name","Continent","Population Group","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Afghanistan","Asia","Female",48.4,49.14,50.32,52.74,53.54,54.09,54.81,55.15,54.82,56.3,56.86,57.34,57.67,58.65,59.22,59.7,60.24,60.91,61.53,61.89,62.41,62.99,63.51,64.03,64.27,64.58,65.1,66.1,66.46,66.68,65.43,65.28,66.21
"Afghanistan","Asia","Male",43.71,44.35,45.07,50.22,49.53,51.04,51.72,52.15,51.13,53.41,53.76,54.27,55.23,56.03,56.66,57.01,57.13,57.34,58.17,58.82,59.28,59.83,60.32,60.79,60.81,60.76,61.19,60.1,59.92,60.62,59.87,58.92,59.77
"Afghanistan","Asia","Total",45.97,46.66,47.6,51.47,51.49,52.54,53.24,53.63,52.94,54.85,55.3,55.8,56.45,57.34,57.94,58.36,58.68,59.11,59.85,60.36,60.85,61.42,61.92,62.42,62.55,62.66,63.14,63.02,63.08,63.56,62.58,61.98,62.88
"Algeria","Africa","Female",68.52,69.01,69.31,69.2,69.17,69.52,70.4,70.92,71.26,71.41,71.95,72.2,72.56,72.25,72.81,73.08,73.38,73.74,74.07,74.86,74.87,75.24,75.48,75.84,76.47,76.82,76.8,76.82,77.2,77.76,75.91,77.96,78.46
"Algeria","Africa","Male",66.31,66.38,66.24,66.26,65.62,65.49,67.13,67.49,67.74,68.7,69.07,69.5,69.94,70.34,70.74,71.07,71.31,71.5,71.84,72.41,72.77,73.04,72.97,73.43,73.8,74.46,74.69,74.7,74.97,75.24,73.08,74.88,75.85
"Algeria","Africa","Total",67.42,67.69,67.76,67.72,67.36,67.45,68.75,69.17,69.45,70.03,70.48,70.82,71.23,71.29,71.76,72.06,72.33,72.6,72.94,73.62,73.81,74.12,74.2,74.61,75.11,75.62,75.73,75.74,76.07,76.47,74.45,76.38,77.13
"Antigua and Barbuda","North & South America","Female",75.97,75.89,75.94,75.83,76.06,76.22,76.54,76.77,76.96,77.24,77.62,78.14,78.43,78.01,77.96,78.37,78.35,78.77,79.09,79.31,79.43,79.71,79.96,80.23,80.53,80.39,80.64,80.72,81,81.17,81.32,80.94,81.64
"Antigua and Barbuda","North & South America","Male",70.9,70.88,70.81,71.03,71.03,70.97,71.05,71.09,71.06,71.37,71.5,71.91,72.48,72.74,73.15,73.07,72.97,73.28,73.51,73.8,73.96,74.24,74.48,74.67,74.91,75.15,75.37,75.52,75.72,75.91,76.06,75.78,76.51
"Antigua and Barbuda","North & South America","Total",73.49,73.44,73.42,73.48,73.59,73.64,73.83,73.96,74.04,74.35,74.61,75.08,75.54,75.48,75.67,75.83,75.76,76.13,76.41,76.67,76.82,77.1,77.35,77.58,77.86,77.91,78.15,78.27,78.51,78.69,78.84,78.5,79.24
"Armenia","Asia","Female",71.99,72.12,72.4,72.69,72.95,73.02,73.59,73.29,74.03,73.77,74.15,74.59,74.71,75.38,75.12,75.78,76.01,76.32,76.57,77.15,77.44,77.71,77.48,77.91,78.5,78.83,79.2,79.38,79.6,79.86,77,77.35,78.45
"Armenia","Asia","Male",65.45,65.01,64.75,64.89,65.08,65.44,65.82,66.32,66.78,66.55,66.89,67.07,67.12,67.31,67.49,67.6,67.74,68.08,68,68.24,68.6,68.61,69.04,69.06,69.24,69.6,69.67,69.92,69.99,70.4,67.05,66.55,67.87
"Armenia","Asia","Total",68.82,68.64,68.63,68.84,69.07,69.31,69.78,69.91,70.51,70.26,70.62,70.93,71.02,71.44,71.42,71.79,71.99,72.33,72.4,72.81,73.16,73.31,73.45,73.68,74.06,74.44,74.66,74.91,75.06,75.44,72.17,72.04,73.37
"Australia","Oceania","Female",80.16,80.4,80.4,80.9,80.9,80.8,81.1,81.4,81.5,81.8,82,82.4,82.6,82.8,83,83.3,83.5,83.7,83.7,83.9,84,84.2,84.3,84.3,84.4,84.5,84.6,84.6,84.9,85,85.3,85.4,85.3
"Australia","Oceania","Male",73.98,74.3,74.5,75,75,75,75.2,75.7,75.9,76.2,76.6,77,77.4,77.8,78.1,78.5,78.7,79,79.2,79.3,79.5,79.7,79.9,80.1,80.3,80.4,80.4,80.5,80.7,80.9,81.2,81.3,81.2
"Australia","Oceania","Total",76.99,77.28,77.38,77.88,77.88,77.83,78.08,78.48,78.63,78.93,79.23,79.63,79.94,80.24,80.49,80.84,81.04,81.29,81.4,81.54,81.7,81.9,82.05,82.15,82.3,82.4,82.45,82.5,82.75,82.9,83.2,83.3,83.2
"Albania","Europe","Female",76.43,76.63,76.97,77.12,77.26,77.51,77.75,77.32,78.02,78.21,78.42,78.62,78.82,79.06,79.24,79.49,79.69,80.25,80.43,80.54,80.69,80.8,80.7,80.78,81.01,81.18,81.38,81.5,81.61,81.67,79.68,79.17,79.47
"Albania","Europe","Male",70.05,70.32,70.66,70.96,71.2,71.43,71.67,70.77,72.19,72.4,72.65,72.92,73.22,73.5,73.79,74.03,74.24,75.1,75.16,75.32,75.49,75.69,75.73,75.79,76.11,76.4,76.64,76.87,77.04,77.17,74.63,74.09,74.5
"Albania","Europe","Total",73.14,73.38,73.72,73.94,74.13,74.36,74.59,73.9,74.99,75.18,75.4,75.64,75.89,76.14,76.38,76.62,76.82,77.55,77.65,77.78,77.94,78.09,78.06,78.12,78.41,78.64,78.86,79.05,79.18,79.28,76.99,76.46,76.83
"Angola","Africa","Female",45.45,46.81,45.48,46.58,47.5,47.83,47.96,48.28,47.62,48.48,48.56,49.61,49.9,51.67,52.66,53.63,54.52,55.81,56.73,57.97,59.04,59.87,61.02,61.68,62.47,63.09,63.43,64.02,64.72,64.92,64.98,64.31,64.54
"Angola","Africa","Male",38.67,41.01,39.19,38.16,39.73,43.88,44.12,44.35,42.58,42.45,43.56,43.71,44.94,47.57,48.53,49.51,50.23,51.47,52.53,53.54,54.42,55.31,56.22,56.92,57.61,58.21,58.74,59.33,59.58,59.98,59.58,59.03,59.35
"Angola","Africa","Total",41.89,43.81,42.21,42.1,43.42,45.85,46.03,46.31,45.06,45.39,46.02,46.59,47.39,49.62,50.59,51.57,52.37,53.64,54.63,55.75,56.73,57.6,58.62,59.31,60.04,60.66,61.09,61.68,62.14,62.45,62.26,61.64,61.93
"Argentina","North & South America","Female",74.96,75.64,75.72,75.94,76.05,76.24,76.42,76.46,76.76,76.99,77.22,77.59,78.08,77.28,78.1,78.53,78.72,78.52,78.93,79.07,78.84,79.32,79.95,79.93,80,80.19,79.67,80.08,80.33,80.68,79.28,78.65,79.28
"Argentina","North & South America","Male",68.55,68.96,69.1,69.16,70.18,69.95,70.12,69.7,70.15,70.41,70.58,70.75,70.75,70.83,71.53,71.69,72.07,71.49,72.28,72.69,72.52,72.84,72.94,73.01,73.42,73.29,72.93,73.53,73.63,73.86,72.55,72.18,72.85
"Argentina","North & South America","Total",71.78,72.32,72.43,72.56,73.17,73.13,73.31,73.09,73.47,73.72,73.93,74.19,74.41,74.08,74.86,75.14,75.43,75.01,75.64,75.94,75.72,76.12,76.47,76.49,76.75,76.76,76.31,76.83,77,77.28,75.89,75.39,76.06
"Aruba","North & South America","Female",76.2,76.15,76.18,76.22,76.25,76.36,76.4,76.36,76.38,76.47,76.48,76.5,76.56,76.5,76.45,76.56,76.54,76.48,76.94,77.37,78.61,78.62,78.6,78.8,78.61,78.64,78.49,78.79,78.85,79.01,78.44,77.32,77.68
"Aruba","North & South America","Male",70.1,70.14,70.18,70.22,70.27,70.31,70.45,70.49,70.54,70.59,70.6,70.72,70.82,70.91,70.63,70.97,71.38,71.8,71.26,71.64,72.13,72.22,72.35,72.36,72.45,72.57,72.58,72.84,73.1,73.29,72.83,71.8,72.14
"Aruba","North & South America","Total",73.08,73.1,73.18,73.22,73.27,73.35,73.45,73.45,73.49,73.56,73.57,73.65,73.73,73.75,73.58,73.81,74.03,74.21,74.15,74.56,75.4,75.47,75.53,75.64,75.6,75.68,75.62,75.9,76.07,76.25,75.72,74.63,74.99
"Austria","Europe","Female",79,79.1,79.3,79.5,79.8,80.1,80.2,80.7,81,81,81.2,81.7,81.7,81.5,82.1,82.2,82.8,83.1,83.3,83.2,83.5,83.8,83.6,83.8,84,83.7,84.1,84,84.1,84.2,83.6,83.7,83.5
"Austria","Europe","Male",72.3,72.3,72.5,72.8,73.2,73.4,73.7,74.1,74.5,74.9,75.2,75.6,75.8,75.9,76.4,76.6,77.1,77.4,77.7,77.6,77.8,78.3,78.4,78.6,79.1,78.8,79.3,79.4,79.4,79.7,78.9,78.8,78.8
"Austria","Europe","Total",75.57,75.62,75.82,76.07,76.42,76.67,76.87,77.32,77.67,77.88,78.13,78.58,78.68,78.63,79.18,79.33,79.88,80.18,80.43,80.33,80.58,80.98,80.94,81.14,81.49,81.19,81.64,81.64,81.69,81.9,81.19,81.19,81.09
"Bahamas","North & South America","Female",73.38,73.59,73.86,73.9,74.03,74.04,73.99,74.42,74.67,74.9,75.19,75.37,75.48,75.67,75.7,76.03,76.18,75.87,75.96,76.07,76.15,75.76,75.92,76.3,76.64,76.37,76.94,77.17,77.32,73.83,76.27,75.1,77.84
"Bahamas","North & South America","Male",66.84,65.77,67.42,67.37,67.63,67.46,67.41,67.67,68.19,68.57,68.83,68.79,68.92,69.08,69.18,69.43,69.47,69.42,69.32,69.07,69.28,69.3,69.51,69.68,70.01,69.76,70.07,70.04,70.22,68.44,69.1,68.12,70.76
"Bahamas","North & South America","Total",70.13,69.62,70.67,70.66,70.85,70.76,70.71,71.05,71.46,71.77,72.04,72.11,72.23,72.4,72.48,72.76,72.86,72.68,72.67,72.58,72.73,72.56,72.75,73.02,73.37,73.1,73.54,73.63,73.81,71.2,72.68,71.6,74.36
"Bangladesh","Asia","Female",54.76,53.07,57.05,57.25,58.09,59.01,58.62,61.31,63.95,66.02,66.11,66.66,67.63,68.22,68.53,68.82,68.79,68.21,68.73,68.86,70.31,70.47,71.83,72.54,72.42,72.74,73.33,73.95,74.35,75.09,73.96,74.27,76.01
"Bangladesh","Asia","Male",57.21,55.22,58.19,58.58,59.11,59.91,60.34,61.53,63.88,66.39,65.47,65.67,65.74,65.65,66.04,66,65.91,65.42,65.6,66.11,67.17,67.34,67.61,67.11,67.88,68.5,69.08,69.82,70.89,70.71,70.19,70.6,71.51
"Bangladesh","Asia","Total",55.99,54.15,57.63,57.93,58.62,59.47,59.49,61.43,63.92,66.23,65.78,66.14,66.61,66.82,67.19,67.3,67.24,66.71,67.05,67.4,68.64,68.81,69.55,69.56,69.99,70.49,71.09,71.79,72.57,72.81,71.97,72.38,73.7
"Belarus","Europe","Female",75.6,75.5,75.4,74.4,74.3,74.3,74.3,74.3,74.4,73.9,74.7,74.5,74.1,74.7,75,75.1,75.5,76.2,76.5,76.4,76.5,76.7,77.6,77.9,78.4,78.9,79,79.2,79.4,79.4,77.87,77.7,78.38
"Belarus","Europe","Male",66.3,65.5,64.9,63.8,63.5,62.9,63,62.9,62.7,62.2,63.4,62.8,62.3,62.7,63.2,62.9,63.6,64.5,64.7,64.7,64.6,64.7,66.6,67.3,67.8,68.6,68.9,69.3,69.2,69.3,67.31,67.3,68.09
"Belarus","Europe","Total",70.84,70.38,70.02,68.97,68.77,68.46,68.51,68.46,68.41,67.91,68.91,68.51,68.06,68.55,68.96,68.85,69.4,70.21,70.46,70.41,70.4,70.55,71.97,72.47,72.97,73.62,73.83,74.13,74.18,74.23,72.46,72.37,73.11
"Bermuda","North & South America","Female",78.53,78.97,76.44,78.69,76.33,79.62,81.2,81.52,82.93,82.06,82.27,83.99,82.35,81.39,84.98,81.54,81.28,83.7,81.76,83.03,85.29,85.69,85.86,84.06,82.75,85.76,85.35,85.42,83.98,84.18,84.27,82.71,84.51
"Bermuda","North & South America","Male",70.64,70.96,71.11,70.46,70.85,72.62,75.1,74.36,76.68,75.83,75.29,75.7,78.67,77.08,77.11,74.35,73.95,75.14,75.42,76.83,75.92,77.14,76.8,76.02,76.26,76.43,76.23,79.12,77.59,77.79,77.89,75.82,78.44
"Bermuda","North & South America","Total",74.5,74.89,73.8,74.49,73.61,76.14,78.22,78,79.95,79.05,78.86,79.87,80.63,79.34,81.12,77.93,77.58,79.36,78.62,80,80.5,81.4,81.27,79.99,79.52,80.92,80.61,82.35,80.83,81.03,81.14,79.28,81.57
"Belize","North & South America","Female",72.49,71.91,71.46,71.63,72.48,71.98,72.17,71.44,70.88,71.21,71.06,70.95,71.53,71.61,71.85,71.83,72.78,73.48,74.04,74.86,75.37,75.68,76.13,76.27,76.34,76.49,76.67,76.84,77.02,77.25,76.63,74.33,74.68
"Belize","North & South America","Male",69.14,68.72,68.61,68.47,68.35,67.98,67.67,67.19,66.54,66.59,66.34,66.06,66.31,66.52,66.89,67.18,67.72,68.17,68.62,69.17,69.59,70.02,70.71,71.35,70.67,70.36,70.58,70.73,70.84,71.06,69.56,67.12,67.72
"Belize","North & South America","Total",70.74,70.25,69.98,69.99,70.32,69.89,69.81,69.21,68.6,68.77,68.56,68.36,68.75,68.91,69.23,69.38,70.09,70.66,71.15,71.82,72.27,72.65,73.25,73.67,73.31,73.19,73.4,73.56,73.7,73.93,72.85,70.47,70.96
"Bolivia","North & South America","Female",57.89,58.63,59.09,60.04,60.72,61.29,61.88,62.52,63.21,63.87,64.39,64.99,65.56,65.98,66.24,66.68,67.11,67.35,67.86,68.36,68.69,69.09,69.31,69.66,69.77,69.91,70.26,70.35,70.38,70.47,67.84,66.8,67.91
"Bolivia","North & South America","Male",54.96,55.57,56.16,56.8,57.3,57.82,58.34,59.04,59.54,59.98,60.42,60.84,61.21,61.46,61.92,62.25,62.61,62.86,63.21,63.58,63.82,64.16,64.29,64.57,64.74,64.9,65.17,65.23,65.28,65.37,61.56,60.88,62.26
"Bolivia","North & South America","Total",56.42,57.1,57.63,58.42,58.99,59.53,60.08,60.75,61.33,61.87,62.35,62.84,63.31,63.63,64,64.39,64.78,65.03,65.45,65.88,66.16,66.53,66.7,67.02,67.16,67.32,67.63,67.7,67.75,67.84,64.47,63.63,64.93
"Benin","Africa","Female",56.01,56.38,56.76,56.93,57.08,57.14,57.08,57.59,58.02,58.35,58.43,58.35,58,58.16,58.05,58.5,58.84,58.93,59.24,59.31,59.68,59.73,59.77,60.21,60.26,60.68,60.73,61.2,61.35,61.86,61.48,61.44,61.68
"Benin","Africa","Male",50.59,50.89,51.43,52.12,52.71,53.39,53.96,54.3,54.36,54.65,54.68,54.92,55.16,55.26,55.55,55.7,56.03,56.38,56.46,56.57,57.01,57.16,57.63,57.7,57.96,58.06,58.33,58.51,58.92,59.05,58.69,58.22,58.26
"Benin","Africa","Total",53.29,53.62,54.09,54.54,54.91,55.3,55.56,55.98,56.22,56.53,56.58,56.66,56.61,56.74,56.83,57.12,57.46,57.67,57.87,57.96,58.36,58.46,58.72,58.97,59.12,59.38,59.54,59.86,60.14,60.45,60.09,59.82,59.95
"Bhutan","Asia","Female",57.32,58.02,58.82,59.53,60.05,60.97,61.69,62.36,63.09,63.78,63.58,65.02,65.7,66.33,66.92,67.46,68.1,68.67,69.2,69.56,70.09,70.63,71.09,71.45,71.8,72.07,72.32,72.58,72.91,73.24,73.54,73.77,74.15
"Bhutan","Asia","Male",54.85,55.5,56.27,56.95,57.46,58.31,58.99,59.6,60.26,60.94,60.71,62.13,62.73,63.34,63.9,64.43,64.92,65.52,66.07,66.5,67.03,67.41,67.84,68.23,68.57,68.88,69.14,69.37,69.6,69.81,69.97,70.14,70.57
"Bhutan","Asia","Total",55.97,56.64,57.42,58.12,58.63,59.52,60.21,60.85,61.55,62.23,62.01,63.44,64.08,64.7,65.27,65.81,66.36,66.95,67.5,67.9,68.43,68.88,69.33,69.71,70.05,70.34,70.6,70.85,71.13,71.39,71.61,71.82,72.23
"Belgium","Europe","Female",79.54,79.67,79.87,79.9,80.19,80.38,80.66,80.7,80.7,81,81,81.2,81.2,81.1,81.9,81.9,82.3,82.6,82.6,82.8,83,83.3,83.1,83.2,83.9,83.4,84,83.9,83.9,84.3,83,84.3,83.9
"Belgium","Europe","Male",72.73,72.88,73,72.96,73.36,73.47,73.88,74.2,74.4,74.4,74.6,74.9,75.1,75.3,76,76.2,76.6,77.1,76.9,77.4,77.5,78,77.8,78.1,78.8,78.7,79,79.2,79.4,79.8,78.5,79.4,79.6
"Belgium","Europe","Total",76.05,76.19,76.35,76.35,76.69,76.84,77.19,77.37,77.47,77.62,77.72,77.97,78.08,78.13,78.88,78.98,79.38,79.78,79.68,80.03,80.18,80.59,80.39,80.59,81.29,80.99,81.44,81.49,81.6,82,80.7,81.79,81.7
"Bahrain","Asia","Female",73.7,73.6,74,74.35,74.7,75.11,75.96,76.37,76.64,76.72,77.48,77.67,77.91,77.97,78.25,78.72,78.94,79.47,79.72,79.9,79.97,80.11,80.37,80.65,80.81,80.84,81.03,81.12,81.19,81.32,80.43,80.02,80.5
"Bahrain","Asia","Male",71.84,72.05,72.11,72.58,72.6,72.8,73.18,73.23,73.25,73.74,74.1,74.63,74.77,75.13,75.31,75.62,75.84,76.28,76.84,77.32,77.74,77.88,78.03,78.13,78.2,78.34,78.46,78.61,78.82,78.98,78.17,77.76,78.24
"Bahrain","Asia","Total",72.67,72.76,72.95,73.38,73.52,73.8,74.36,74.53,74.64,74.98,75.5,75.91,76.09,76.34,76.56,76.93,77.16,77.63,78.08,78.46,78.75,78.89,79.08,79.25,79.33,79.4,79.56,79.69,79.86,80.02,79.17,78.76,79.25
"Azerbaijan","Asia","Female",66.05,66,65.97,65.92,66.07,66.51,66.56,67.08,67.6,68.17,68.79,69.36,69.88,70.34,70.77,70.95,71.56,72.03,71.99,72.78,72.82,73.34,73.83,74.28,74.38,74.79,75.59,75.47,75.71,75.83,71,73.29,76.25
"Azerbaijan","Asia","Male",58.42,57.92,56.58,56.61,57.04,58.01,58.59,58.85,59.54,60.28,61.03,61.7,62.59,63.16,63.88,64.15,64.76,65.19,65.62,65.98,66.25,66.64,66.9,67.48,67.81,68.08,68.41,68.95,69.69,70.23,62.99,65.65,70.55
"Azerbaijan","Asia","Total",62.35,62.05,61.3,61.29,61.59,62.3,62.62,62.97,63.56,64.19,64.89,65.51,66.24,66.76,67.35,67.56,68.17,68.6,68.81,69.36,69.53,69.98,70.36,70.88,71.12,71.45,72,72.25,72.76,73.1,66.87,69.37,73.49
"Barbados","North & South America","Female",75.15,75.29,75.37,75.81,75.88,75.89,76.14,76.13,76.28,76.48,76.37,76.42,76.48,76.67,76.83,76.94,77.2,77.5,77.58,77.82,77.68,77.87,78.03,78.21,78.44,78.59,78.72,78.84,78.96,79.12,79.21,79.36,79.58
"Barbados","North & South America","Male",70.17,70.22,70.28,70.39,70.36,70.53,70.77,70.79,71.01,71.42,71.63,71.88,72.06,72.09,72.43,72.65,72.75,73,73.14,73.36,73.57,73.78,73.99,74.16,74.34,74.54,74.74,74.86,75.01,75.23,75.42,75.63,75.68
"Barbados","North & South America","Total",72.75,72.84,72.92,73.19,73.21,73.3,73.55,73.55,73.73,74.04,74.09,74.25,74.37,74.47,74.73,74.89,75.07,75.34,75.45,75.68,75.71,75.92,76.1,76.28,76.48,76.65,76.82,76.94,77.07,77.26,77.39,77.57,77.71
"Bosnia and Herzegovina","Europe","Female",75.4,75.31,64.25,64.38,75.22,74.33,76.2,76.39,76.39,77.87,77.31,77.99,76.83,78.55,78.69,78.33,79.14,78.95,79.61,79.73,79.65,79.38,79.87,78.62,77.71,78.11,78.77,78.96,79.09,79.22,78.41,77.53,77.5
